family,dataset,log_type,path,rows
cobalt_strike,Cobalt-Strike-cs_dns_default_with_amazon,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs_dns_default_with_amazon\dns.log,12461
havoc,havoc_MSDT_1h,conn,D:\ResearchPaper\Beacons\Havoc\zeek_logs\havoc_MSDT_1h\conn.log,5690
havoc,havoc_MSDT_1h,dns,D:\ResearchPaper\Beacons\Havoc\zeek_logs\havoc_MSDT_1h\dns.log,607
havoc,havoc_MSDT_1h,http,D:\ResearchPaper\Beacons\Havoc\zeek_logs\havoc_MSDT_1h\http.log,1504
havoc,havoc_MSDT_1h,ssl,D:\ResearchPaper\Beacons\Havoc\zeek_logs\havoc_MSDT_1h\ssl.log,3472
havoc,havoc_MSDT_1h,x509,D:\ResearchPaper\Beacons\Havoc\zeek_logs\havoc_MSDT_1h\x509.log,39
havoc,havoc_MSDT_24h,conn,D:\ResearchPaper\Beacons\Havoc\zeek_logs\havoc_MSDT_24h\conn.log,125964
havoc,havoc_MSDT_24h,dns,D:\ResearchPaper\Beacons\Havoc\zeek_logs\havoc_MSDT_24h\dns.log,5564
havoc,havoc_MSDT_24h,http,D:\ResearchPaper\Beacons\Havoc\zeek_logs\havoc_MSDT_24h\http.log,36275
havoc,havoc_MSDT_24h,ssl,D:\ResearchPaper\Beacons\Havoc\zeek_logs\havoc_MSDT_24h\ssl.log,83437
havoc,havoc_MSDT_24h,x509,D:\ResearchPaper\Beacons\Havoc\zeek_logs\havoc_MSDT_24h\x509.log,117
mythic,mythic_24hr,conn,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_24hr\conn.log,7610
mythic,mythic_24hr,http,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_24hr\http.log,7610
mythic,mythic_C_0804,conn,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_0804\conn.log,235
mythic,mythic_C_0804,http,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_0804\http.log,249
mythic,mythic_C_1026,conn,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1026\conn.log,3565
mythic,mythic_C_1026,dns,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1026\dns.log,24
mythic,mythic_C_1026,http,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1026\http.log,3401
mythic,mythic_C_1031,conn,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1031\conn.log,5289
mythic,mythic_C_1031,dns,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1031\dns.log,48
mythic,mythic_C_1031,http,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1031\http.log,4885
mythic,mythic_C_1034,conn,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1034\conn.log,5237
mythic,mythic_C_1034,dns,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1034\dns.log,48
mythic,mythic_C_1034,http,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1034\http.log,4873
mythic,mythic_C_1036,conn,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1036\conn.log,5274
mythic,mythic_C_1036,dns,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1036\dns.log,48
mythic,mythic_C_1036,http,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1036\http.log,4890
mythic,mythic_C_1509,conn,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1509\conn.log,2745
mythic,mythic_C_1509,dns,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1509\dns.log,1
mythic,mythic_C_1509,http,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1509\http.log,2784
mythic,mythic_C_1541,conn,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1541\conn.log,2759
mythic,mythic_C_1541,dns,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1541\dns.log,1
mythic,mythic_C_1541,http,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1541\http.log,2778
mythic,mythic_C_1615,conn,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1615\conn.log,1511
mythic,mythic_C_1615,dns,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1615\dns.log,4
mythic,mythic_C_1615,http,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1615\http.log,1521
mythic,mythic_C_1817,conn,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1817\conn.log,1450
mythic,mythic_C_1817,dns,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1817\dns.log,4
mythic,mythic_C_1817,http,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_1817\http.log,1500
mythic,mythic_C_2020,conn,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_2020\conn.log,1498
mythic,mythic_C_2020,dns,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_2020\dns.log,4
mythic,mythic_C_2020,http,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_2020\http.log,1528
mythic,mythic_C_2223,conn,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_2223\conn.log,3597
mythic,mythic_C_2223,dns,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_2223\dns.log,24
mythic,mythic_C_2223,http,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_2223\http.log,3413
mythic,mythic_C_2228,conn,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_2228\conn.log,3511
mythic,mythic_C_2228,dns,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_2228\dns.log,24
mythic,mythic_C_2228,http,D:\ResearchPaper\Beacons\Mythic\zeek_logs\mythic_C_2228\http.log,3407
sliver,2021-10-20-Stolen-Images-Evidence-campaign-pushes-Sliver,conn,D:\ResearchPaper\Beacons\Sliver\zeek_logs\2021-10-20-Stolen-Images-Evidence-campaign-pushes-Sliver\conn.log,32
sliver,2021-10-20-Stolen-Images-Evidence-campaign-pushes-Sliver,dns,D:\ResearchPaper\Beacons\Sliver\zeek_logs\2021-10-20-Stolen-Images-Evidence-campaign-pushes-Sliver\dns.log,13
sliver,2021-10-20-Stolen-Images-Evidence-campaign-pushes-Sliver,http,D:\ResearchPaper\Beacons\Sliver\zeek_logs\2021-10-20-Stolen-Images-Evidence-campaign-pushes-Sliver\http.log,2
sliver,2021-10-20-Stolen-Images-Evidence-campaign-pushes-Sliver,ssl,D:\ResearchPaper\Beacons\Sliver\zeek_logs\2021-10-20-Stolen-Images-Evidence-campaign-pushes-Sliver\ssl.log,18
sliver,2021-10-20-TA551-pushes-Sliver,conn,D:\ResearchPaper\Beacons\Sliver\zeek_logs\2021-10-20-TA551-pushes-Sliver\conn.log,97
sliver,2021-10-20-TA551-pushes-Sliver,dns,D:\ResearchPaper\Beacons\Sliver\zeek_logs\2021-10-20-TA551-pushes-Sliver\dns.log,5
sliver,2021-10-20-TA551-pushes-Sliver,http,D:\ResearchPaper\Beacons\Sliver\zeek_logs\2021-10-20-TA551-pushes-Sliver\http.log,1
sliver,2021-10-20-TA551-pushes-Sliver,ssl,D:\ResearchPaper\Beacons\Sliver\zeek_logs\2021-10-20-TA551-pushes-Sliver\ssl.log,91
sliver,sliver_A_0623,conn,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_0623\conn.log,19283
sliver,sliver_A_0623,dns,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_0623\dns.log,24
sliver,sliver_A_0623,ssl,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_0623\ssl.log,17777
sliver,sliver_A_0639,conn,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_0639\conn.log,30017
sliver,sliver_A_0639,dns,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_0639\dns.log,48
sliver,sliver_A_0639,ssl,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_0639\ssl.log,27581
sliver,sliver_A_0647,conn,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_0647\conn.log,31336
sliver,sliver_A_0647,dns,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_0647\dns.log,48
sliver,sliver_A_0647,ssl,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_0647\ssl.log,27582
sliver,sliver_A_0655,conn,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_0655\conn.log,30254
sliver,sliver_A_0655,dns,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_0655\dns.log,48
sliver,sliver_A_0655,ssl,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_0655\ssl.log,27565
sliver,sliver_A_0950,conn,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_0950\conn.log,5489
sliver,sliver_A_0950,dns,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_0950\dns.log,1
sliver,sliver_A_0950,ssl,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_0950\ssl.log,5427
sliver,sliver_A_1029,conn,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1029\conn.log,4617
sliver,sliver_A_1029,ssl,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1029\ssl.log,4557
sliver,sliver_A_1109,conn,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1109\conn.log,4188
sliver,sliver_A_1109,dns,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1109\dns.log,1
sliver,sliver_A_1109,ssl,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1109\ssl.log,4118
sliver,sliver_A_1148,conn,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1148\conn.log,6093
sliver,sliver_A_1148,dns,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1148\dns.log,4
sliver,sliver_A_1148,ssl,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1148\ssl.log,5864
sliver,sliver_A_1358,conn,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1358\conn.log,6017
sliver,sliver_A_1358,dns,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1358\dns.log,4
sliver,sliver_A_1358,ssl,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1358\ssl.log,5791
sliver,sliver_A_1607,conn,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1607\conn.log,5930
sliver,sliver_A_1607,dns,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1607\dns.log,4
sliver,sliver_A_1607,ssl,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1607\ssl.log,5689
sliver,sliver_A_1815,conn,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1815\conn.log,19022
sliver,sliver_A_1815,dns,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1815\dns.log,24
sliver,sliver_A_1815,ssl,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1815\ssl.log,17820
sliver,sliver_A_1831,conn,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1831\conn.log,19310
sliver,sliver_A_1831,dns,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1831\dns.log,24
sliver,sliver_A_1831,ssl,D:\ResearchPaper\Beacons\Sliver\zeek_logs\sliver_A_1831\ssl.log,17780
