#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ssl
#open	2026-09-23-18-29-19
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	cipher	curve	server_name	resumed	last_alert	next_protocol	established	ssl_history	cert_chain_fps	client_cert_chain_fps	sni_matches_cert
#types	time	string	addr	port	addr	port	string	string	string	string	bool	string	string	bool	string	vector[string]	vector[string]	bool
1673545957.588923	CfziWLMPFxdVKnWhd	172.18.127.129	55915	142.251.32.202	443	TLSv13	TLS_AES_128_GCM_SHA256	x25519	firebasestorage.googleapis.com	F	-	-	T	CsiI	-	-	-
1673550634.197995	CGvCeo1e258ICaSsGd	172.18.127.129	56047	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550641.264693	CNf3yzXjVvnJ2KKR1	172.18.127.129	56048	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550646.372996	CkNL9R1c9rbEitDxf	172.18.127.129	56049	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550648.256905	CepzeE1xGQKG3LbXj7	172.18.127.129	56051	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550653.731467	CSjSeqL6O8mtdk2wb	172.18.127.129	56052	5.230.74.203	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	qzmeat.cyou	F	-	-	T	CsxknGIti	940a86721ed42338793b72fb41e382ea96282cc5f4e889c99495c1dc65e107b3	(empty)	F
1673550657.035957	CyQLun10a6HtTr9WH6	172.18.127.129	56053	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550663.075486	CQGZH648UwAfJx6IFl	172.18.127.129	56054	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550666.086761	CnzUPG3lZbVx2tlKk8	172.18.127.129	56058	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550671.778992	CBPWju3JLek5oiZao1	172.18.127.129	56059	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550677.411354	CkUd414FosDqyOGwP8	172.18.127.129	56060	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550684.374698	CYJK0j2isqE7ab8Yi	172.18.127.129	56061	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550692.053994	C8OGU01kB3P34QkJH	172.18.127.129	56062	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
#close	2026-09-23-18-29-19
